Asset Name,Serial Number,Status,Account Name,Product Code,Product Family,Product Family Short Name,Active Service,Territory,Service Contract Status Simple,Contract_Status_Clean,Service Start Date,Service End Date,has_active_contract,lat,lon,matched_appointment_account,match_method,match_score,matched
ARIA0691 - Aria Patient Simulator - Caucasian,ARIA0691,Shipped,Moraine Valley Community College,ARIA-01,Aria,Aria,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
ARES1542DS - Ares Simulator - Black/African American,ARES1542DS,Shipped,Carle Illinois College of Medicine,ARES-02,Ares,Ares,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,40.1117174,-88.20730099999999,Carle Illinois College of Medicine,exact,100.0,True
LUNA0724DS - Luna Simulator - Black/African American,LUNA0724DS,Shipped,Carle Illinois College of Medicine,LUNA-02,Luna,Luna,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,40.1117174,-88.20730099999999,Carle Illinois College of Medicine,exact,100.0,True
"EVO000068DS - Evo Base Package - Adult, Black/African American",EVO000068DS,Shipped,Moraine Valley Community College,EVO-05,Evo,Evo,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
"EVO000082 - Evo Base Package - Adult, Caucasian",EVO000082,Shipped,Moraine Valley Community College,EVO-04,Evo,Evo,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
"EVO000081 - Evo Base Package - Adult, Caucasian",EVO000081,Shipped,Carle Illinois College of Medicine,EVO-04,Evo,Evo,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,40.1117174,-88.20730099999999,Carle Illinois College of Medicine,exact,100.0,True
VMDX2607 - Vimedix Simulator - Male,VMDX2607,Shipped,Carle Illinois College of Medicine,VIMEDIX-01,Vimedix,Vimedix,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,40.1117174,-88.20730099999999,Carle Illinois College of Medicine,exact,100.0,True
VMDX2608 - Vimedix Simulator - Female,VMDX2608,Shipped,Carle Illinois College of Medicine,VIMEDIX-02,Vimedix,Vimedix,0,Illinois,Service Contract coverage has not started yet,Service Contract coverage has not started yet,2026-01-29,2027-01-28,False,40.1117174,-88.20730099999999,Carle Illinois College of Medicine,exact,100.0,True
VMDX2606 - Elevate Vimedix Abdominal Ultrasound Simulator Base Unit-Abdominal,VMDX2606,Shipped,North Jefferson County Ambulance District,VIM-008.1,Vimedix,Vimedix,1,West Plains,Active Service Contract,Active Service Contract,2026-01-16,2032-01-15,True,,,,,,False
APP1404 - Apollo Simulator - Pre-Hospital Caucasian,APP1404,Shipped,Kansas City University - Joplin Campus,APOLLO-01,Apollo Pre-Hospital,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2026-01-16,2031-01-15,True,38.23613877142857,-94.55036884285714,Kansas City University - Joplin Campus,exact,100.0,True
ARES1570 - Ares Simulator - Caucasian,ARES1570,Shipped,Wichita State University Tech,ARES-01,Ares,Ares,1,West Plains,Active Service Contract,Active Service Contract,2026-01-16,2027-01-15,True,,,,,,False
JUNO5047 - Juno Simulator - Caucasian,JUNO5047,Shipped,Moraine Valley Community College,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
JUNO5054 - Juno Simulator - Caucasian,JUNO5054,Shipped,Moraine Valley Community College,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
JUNO5044 - Juno Simulator - Caucasian,JUNO5044,Shipped,Moraine Valley Community College,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
JUNO5056 - Juno Simulator - Caucasian,JUNO5056,Shipped,Moraine Valley Community College,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
JUNO5048 - Juno Simulator - Caucasian,JUNO5048,Shipped,Nash Community College,JUNO-01,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2026-01-09,2028-01-08,True,,,,,,False
JUNO5055 - Juno Simulator - Caucasian,JUNO5055,Shipped,Nash Community College,JUNO-01,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2026-01-09,2028-01-08,True,,,,,,False
JUNO5040DS - Juno Simulator - Black/African American,JUNO5040DS,Shipped,Moraine Valley Community College,JUNO-02,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
JUNO5038DS - Juno Simulator - Black/African American,JUNO5038DS,Shipped,Moraine Valley Community College,JUNO-02,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
JUNO5061DS - Juno Simulator - Black/African American,JUNO5061DS,Shipped,Moraine Valley Community College,JUNO-02,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
JUNO5062DS - Juno Simulator - Black/African American,JUNO5062DS,Shipped,Moraine Valley Community College,JUNO-02,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,Moraine Valley Community College,exact,100.0,True
JUNO5063DS - Juno Simulator - Black/African American,JUNO5063DS,Shipped,Nash Community College,JUNO-02,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2026-01-09,2028-01-08,True,,,,,,False
LUNA0730 - Luna Simulator - Caucasian,LUNA0730,Shipped,Bevill State Community College: Sumiton Campus,LUNA-01,Luna,Luna,1,Gulf Coast,Active Service Contract,Active Service Contract,2026-01-04,2029-01-03,True,33.7554224,-87.0504172,Bevill State Community College: Sumiton Campus,exact,100.0,True
APP1393 - Apollo Simulator - Pre-Hospital Caucasian,APP1393,Shipped,Bevill State Community College: Carrollton Campus,APOLLO-01,Apollo Pre-Hospital,Apollo,1,Gulf Coast,Active Service Contract,Active Service Contract,2025-12-26,2028-12-25,True,34.1420861,-87.9890206,Bevill State Community College: Hamilton Campus,fuzzy,92.0,True
APN0590 - Apollo Simulator - Nursing Caucasian,APN0590,Shipped,Pueblo Community College - Fremont,APOLLO-03,Apollo Nursing,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-12-26,2030-12-25,True,38.4422506,-105.2348795,Pueblo Community College - Fremont,exact,100.0,True
MFS3076 - Lucina Patient Simulator - Caucasian,MFS3076,Shipped,Ohio University - Zanesville,LUCINA-01,Lucina,Lucina,1,Great Lakes,Active Service Contract,Active Service Contract,2025-12-26,2027-12-25,True,39.9401426,-82.005019,Ohio University - Zanesville,exact,100.0,True
ARIA0692 - Aria Patient Simulator - Caucasian,ARIA0692,Shipped,Pueblo Community College - Fremont,ARIA-01,Aria,Aria,1,West Plains,Active Service Contract,Active Service Contract,2025-12-26,2027-12-25,True,38.4422506,-105.2348795,Pueblo Community College - Fremont,exact,100.0,True
ARES1572 - Ares Simulator - Caucasian,ARES1572,Shipped,Norton County EMS,ARES-01,Ares,Ares,1,West Plains,Active Service Contract,Active Service Contract,2025-12-26,2026-12-25,True,,,,,,False
HPS1041/HPSM1026 - HPS Simulator - Anesthesia,HPS1041/HPSM1026,Shipped,Northwestern State University - Natchitoches,HPS-01,HPS Adult,HPS Adult,1,Gulf Coast,Active Service Contract,Active Service Contract,2025-12-26,2026-12-25,True,,,,,,False
LUNA0729 - Luna Simulator - Caucasian,LUNA0729,Shipped,Bevill State Community College: Fayette Campus,LUNA-01,Luna,Luna,1,Gulf Coast,Active Service Contract,Active Service Contract,2025-12-26,2028-12-25,True,,,,,,False
JUNO5051 - Juno Simulator - Caucasian,JUNO5051,Shipped,Manhattanville University,JUNO-01,Juno,Juno,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-21,2026-12-20,True,,,,,,False
JUNO5041 - Juno Simulator - Caucasian,JUNO5041,Shipped,Arcare,JUNO-01,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-12-21,2026-12-20,True,,,,,,False
LUNA0725 - Luna Advanced,LUNA0725,Shipped,Waukesha County Technical College,LUNA-300,Luna,Luna,1,Northern Plains,Active Service Contract,Active Service Contract,2025-12-19,2026-12-18,True,43.0846017,-88.2139452,Waukesha County Technical College,exact,100.0,True
EVO000066 - Evo Modular Patient Simulator,EVO000066,Shipped,University of Toledo,EVO-00,Evo,Evo,0,Great Lakes,No Service Contract,No Service Contract,,,False,41.6529143,-83.5378173,University of Toledo,exact,100.0,True
MFS3081 - Lucina Patient Simulator - Caucasian,MFS3081,Shipped,Lenoir Community College,LUCINA-01,Lucina,Lucina,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-12-17,2027-12-16,True,,,,,,False
LUNA0714 - Luna Live,LUNA0714,Shipped,Galen College of Nursing - Richmond,LUNA-200,Luna,Luna,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-09-19,2026-09-18,True,37.5385087,-77.43428,Galen College of Nursing - Richmond,exact,100.0,True
ARIA0687 - Aria Patient Simulator - Caucasian,ARIA0687,Shipped,"St. Joseph's University, New York - BK",ARIA-01,Aria,Aria,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-12,2030-12-11,True,40.6526006,-73.9497211,"St. Joseph's University, New York - BK",exact,100.0,True
ARIA0686 - Aria Patient Simulator - Caucasian,ARIA0686,Shipped,"Saint Joseph's University, New York - LI",ARIA-01,Aria,Aria,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-12,2030-12-11,True,40.7656539,-73.0151084,"Saint Joseph's University, New York - LI",exact,100.0,True
LUNA0719 - Luna Simulator - Caucasian,LUNA0719,Shipped,"St. Joseph's University, New York - BK",LUNA-01,Luna,Luna,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-12,2030-12-11,True,40.6526006,-73.9497211,"St. Joseph's University, New York - BK",exact,100.0,True
LUNA0720 - Luna Simulator - Caucasian,LUNA0720,Shipped,"Saint Joseph's University, New York - LI",LUNA-01,Luna,Luna,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-12,2030-12-11,True,40.7656539,-73.0151084,"Saint Joseph's University, New York - LI",exact,100.0,True
JUNO5046 - Juno Simulator - Caucasian,JUNO5046,Shipped,School Board Miami-Dade County,JUNO-01,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2025-12-10,2026-12-09,True,,,,,,False
JUNO5021DS - Juno Simulator - Black/African American,JUNO5021DS,Shipped,Gallup McKinley County Schools,JUNO-02,Juno,Juno,1,Southwest,Active Service Contract,Active Service Contract,2025-12-10,2026-12-09,True,,,,,,False
VMDX2597 - Vimedix Simulator - Male,VMDX2597,Shipped,Sanford Health Hospital - Fargo,VIMEDIX-01,Vimedix,Vimedix,1,Northern Plains,Active Service Contract,Active Service Contract,2025-12-10,2030-12-09,True,,,,,,False
JUNO5012DS - Juno Simulator - Black/African American,JUNO5012DS,Shipped,Gallup McKinley County Schools,JUNO-02,Juno,Juno,1,Southwest,Active Service Contract,Active Service Contract,2025-12-07,2026-12-06,True,,,,,,False
MFS3079DS - Lucina Patient Simulator - Black/African American,MFS3079DS,Installed,Northeast Alabama Community College,LUCINA-02,Lucina,Lucina,0,Gulf Coast,No Service Contract,No Service Contract,,,False,34.4942536,-85.8477494,Northeast Alabama Community College,exact,100.0,True
VMDX2595 - Vimedix Simulator - Male,VMDX2595,Shipped,"Rutgers, The State University of New Jersey",VIMEDIX-01,Vimedix,Vimedix,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-06,2026-12-05,True,40.735657,-74.1723667,"Rutgers, The State University of New Jersey",exact,100.0,True
VMDX2596 - Vimedix Simulator - Female,VMDX2596,Shipped,"Rutgers, The State University of New Jersey",VIMEDIX-02,Vimedix,Vimedix,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-06,2026-12-05,True,40.735657,-74.1723667,"Rutgers, The State University of New Jersey",exact,100.0,True
JUNO5029 - Juno Simulator - Caucasian,JUNO5029,Shipped,Hartsfield Village,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2025-12-03,2026-12-02,True,,,,,,False
"APN0586 - Apollo Nursing Patient Simulator, Maestro",APN0586,Shipped,Cuyahoga Community College - Metro Campus,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-30,2027-11-29,True,41.4996574,-81.6936772,Cuyahoga Community College - Metro Campus,exact,100.0,True
JUNO5028 - Juno Simulator - Caucasian,JUNO5028,Installed,HCA Kansas City CCA - Mid America Division,JUNO-01,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
JUNO5036 - Juno Simulator - Caucasian,JUNO5036,Installed,HCA Kansas City CCA - Mid America Division,JUNO-01,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
JUNO5034 - Juno Simulator - Caucasian,JUNO5034,Installed,HCA Kansas City CCA - Mid America Division,JUNO-01,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
JUNO5035 - Juno Simulator - Caucasian,JUNO5035,Installed,HCA Kansas City CCA - Mid America Division,JUNO-01,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
JUNO5017DS - Juno Simulator - Black/African American,JUNO5017DS,Installed,HCA Kansas City CCA - Mid America Division,JUNO-02,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
JUNO5019DS - Juno Simulator - Black/African American,JUNO5019DS,Installed,HCA Kansas City CCA - Mid America Division,JUNO-02,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
JUNO5014DS - Juno Simulator - Black/African American,JUNO5014DS,Installed,HCA Kansas City CCA - Mid America Division,JUNO-02,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
JUNO5018DS - Juno Simulator - Black/African American,JUNO5018DS,Installed,HCA Kansas City CCA - Mid America Division,JUNO-02,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
APN0585DS - Apollo Simulator - Nursing Black/African American,APN0585DS,Shipped,HCA Kansas City CCA - Mid America Division,APOLLO-04,Apollo Nursing,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
APP1386 - Apollo Simulator - Pre-Hospital Caucasian,APP1386,Installed,HCA Kansas City CCA - Mid America Division,APOLLO-01,Apollo Pre-Hospital,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
APP1388 - Apollo Simulator - Pre-Hospital Caucasian,APP1388,Shipped,HCA Kansas City CCA - Mid America Division,APOLLO-01,Apollo Pre-Hospital,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,HCA Kansas City CCA - Mid America Division,exact,100.0,True
