Asset Name,Serial Number,Status,Account Name,Product Code,Product Family,Product Family Short Name,Active Service,Territory,Service Contract Status Simple,Contract_Status_Clean,Service Start Date,Service End Date,has_active_contract,lat,lon,matched
JUNO5038DS - Juno Simulator - Black/African American,JUNO5038DS,Shipped,Moraine Valley Community College,JUNO-02,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,True
JUNO5061DS - Juno Simulator - Black/African American,JUNO5061DS,Shipped,Moraine Valley Community College,JUNO-02,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,True
JUNO5062DS - Juno Simulator - Black/African American,JUNO5062DS,Shipped,Moraine Valley Community College,JUNO-02,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2026-01-09,2027-01-08,True,41.6966397,-87.816924,True
JUNO5063DS - Juno Simulator - Black/African American,JUNO5063DS,Shipped,Nash Community College,JUNO-02,Juno,Juno,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2026-01-09,2028-01-08,True,41.5571178,-83.6279321,True
LUNA0730 - Luna Simulator - Caucasian,LUNA0730,Shipped,Bevill State Community College: Sumiton Campus,LUNA-01,Luna,Luna,1,Gulf Coast,Active Service Contract,Active Service Contract,2026-01-04,2029-01-03,True,33.7554224,-87.0504172,True
APP1393 - Apollo Simulator - Pre-Hospital Caucasian,APP1393,Shipped,Bevill State Community College: Carrollton Campus,APOLLO-01,Apollo Pre-Hospital,Apollo,1,Gulf Coast,Active Service Contract,Active Service Contract,2025-12-26,2028-12-25,True,34.1420861,-87.9890206,True
APN0590 - Apollo Simulator - Nursing Caucasian,APN0590,Shipped,Pueblo Community College - Fremont,APOLLO-03,Apollo Nursing,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-12-26,2030-12-25,True,38.4422506,-105.2348795,True
MFS3076 - Lucina Patient Simulator - Caucasian,MFS3076,Shipped,Ohio University - Zanesville,LUCINA-01,Lucina,Lucina,1,Great Lakes,Active Service Contract,Active Service Contract,2025-12-26,2027-12-25,True,39.9401426,-82.005019,True
ARIA0692 - Aria Patient Simulator - Caucasian,ARIA0692,Shipped,Pueblo Community College - Fremont,ARIA-01,Aria,Aria,1,West Plains,Active Service Contract,Active Service Contract,2025-12-26,2027-12-25,True,38.4422506,-105.2348795,True
ARES1572 - Ares Simulator - Caucasian,ARES1572,Shipped,Norton County EMS,ARES-01,Ares,Ares,1,West Plains,Active Service Contract,Active Service Contract,2025-12-26,2026-12-25,True,,,False
HPS1041/HPSM1026 - HPS Simulator - Anesthesia,HPS1041/HPSM1026,Shipped,Northwestern State University - Natchitoches,HPS-01,HPS Adult,HPS Adult,1,Gulf Coast,Active Service Contract,Active Service Contract,2025-12-26,2026-12-25,True,,,False
LUNA0729 - Luna Simulator - Caucasian,LUNA0729,Shipped,Bevill State Community College: Fayette Campus,LUNA-01,Luna,Luna,1,Gulf Coast,Active Service Contract,Active Service Contract,2025-12-26,2028-12-25,True,33.8312185,-87.2775053,True
JUNO5051 - Juno Simulator - Caucasian,JUNO5051,Shipped,Manhattanville University,JUNO-01,Juno,Juno,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-21,2026-12-20,True,,,False
JUNO5041 - Juno Simulator - Caucasian,JUNO5041,Shipped,Arcare,JUNO-01,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-12-21,2026-12-20,True,,,False
LUNA0725 - Luna Advanced,LUNA0725,Shipped,Waukesha County Technical College,LUNA-300,Luna,Luna,1,Northern Plains,Active Service Contract,Active Service Contract,2025-12-19,2026-12-18,True,43.0846017,-88.2139452,True
MFS3081 - Lucina Patient Simulator - Caucasian,MFS3081,Shipped,Lenoir Community College,LUCINA-01,Lucina,Lucina,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-12-17,2027-12-16,True,41.5571178,-83.6279321,True
LUNA0714 - Luna Live,LUNA0714,Shipped,Galen College of Nursing - Richmond,LUNA-200,Luna,Luna,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-09-19,2026-09-18,True,37.5385087,-77.43428,True
ARIA0687 - Aria Patient Simulator - Caucasian,ARIA0687,Shipped,"St. Joseph's University, New York - BK",ARIA-01,Aria,Aria,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-12,2030-12-11,True,40.6526006,-73.9497211,True
ARIA0686 - Aria Patient Simulator - Caucasian,ARIA0686,Shipped,"Saint Joseph's University, New York - LI",ARIA-01,Aria,Aria,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-12,2030-12-11,True,40.7656539,-73.0151084,True
LUNA0719 - Luna Simulator - Caucasian,LUNA0719,Shipped,"St. Joseph's University, New York - BK",LUNA-01,Luna,Luna,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-12,2030-12-11,True,40.6526006,-73.9497211,True
LUNA0720 - Luna Simulator - Caucasian,LUNA0720,Shipped,"Saint Joseph's University, New York - LI",LUNA-01,Luna,Luna,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-12,2030-12-11,True,40.7656539,-73.0151084,True
JUNO5046 - Juno Simulator - Caucasian,JUNO5046,Shipped,School Board Miami-Dade County,JUNO-01,Juno,Juno,1,South Florida,Active Service Contract,Active Service Contract,2025-12-10,2026-12-09,True,,,False
JUNO5021DS - Juno Simulator - Black/African American,JUNO5021DS,Shipped,Gallup McKinley County Schools,JUNO-02,Juno,Juno,1,Southwest,Active Service Contract,Active Service Contract,2025-12-10,2026-12-09,True,,,False
VMDX2597 - Vimedix Simulator - Male,VMDX2597,Shipped,Sanford Health Hospital - Fargo,VIMEDIX-01,Vimedix,Vimedix,1,Northern Plains,Active Service Contract,Active Service Contract,2025-12-10,2030-12-09,True,,,False
JUNO5012DS - Juno Simulator - Black/African American,JUNO5012DS,Shipped,Gallup McKinley County Schools,JUNO-02,Juno,Juno,1,Southwest,Active Service Contract,Active Service Contract,2025-12-07,2026-12-06,True,,,False
VMDX2595 - Vimedix Simulator - Male,VMDX2595,Shipped,"Rutgers, The State University of New Jersey",VIMEDIX-01,Vimedix,Vimedix,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-06,2026-12-05,True,40.735657,-74.1723667,True
VMDX2596 - Vimedix Simulator - Female,VMDX2596,Shipped,"Rutgers, The State University of New Jersey",VIMEDIX-02,Vimedix,Vimedix,1,NY/NJ,Active Service Contract,Active Service Contract,2025-12-06,2026-12-05,True,40.735657,-74.1723667,True
JUNO5029 - Juno Simulator - Caucasian,JUNO5029,Shipped,Hartsfield Village,JUNO-01,Juno,Juno,1,Illinois,Active Service Contract,Active Service Contract,2025-12-03,2026-12-02,True,,,False
"APN0586 - Apollo Nursing Patient Simulator, Maestro",APN0586,Shipped,Cuyahoga Community College - Metro Campus,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-30,2027-11-29,True,41.4996574,-81.6936772,True
JUNO5028 - Juno Simulator - Caucasian,JUNO5028,Installed,HCA Kansas City CCA - Mid America Division,JUNO-01,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
JUNO5036 - Juno Simulator - Caucasian,JUNO5036,Installed,HCA Kansas City CCA - Mid America Division,JUNO-01,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
JUNO5034 - Juno Simulator - Caucasian,JUNO5034,Installed,HCA Kansas City CCA - Mid America Division,JUNO-01,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
JUNO5035 - Juno Simulator - Caucasian,JUNO5035,Installed,HCA Kansas City CCA - Mid America Division,JUNO-01,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
JUNO5017DS - Juno Simulator - Black/African American,JUNO5017DS,Installed,HCA Kansas City CCA - Mid America Division,JUNO-02,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
JUNO5019DS - Juno Simulator - Black/African American,JUNO5019DS,Installed,HCA Kansas City CCA - Mid America Division,JUNO-02,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
JUNO5014DS - Juno Simulator - Black/African American,JUNO5014DS,Installed,HCA Kansas City CCA - Mid America Division,JUNO-02,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
JUNO5018DS - Juno Simulator - Black/African American,JUNO5018DS,Installed,HCA Kansas City CCA - Mid America Division,JUNO-02,Juno,Juno,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
APN0585DS - Apollo Simulator - Nursing Black/African American,APN0585DS,Shipped,HCA Kansas City CCA - Mid America Division,APOLLO-04,Apollo Nursing,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
APP1386 - Apollo Simulator - Pre-Hospital Caucasian,APP1386,Installed,HCA Kansas City CCA - Mid America Division,APOLLO-01,Apollo Pre-Hospital,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
APP1388 - Apollo Simulator - Pre-Hospital Caucasian,APP1388,Shipped,HCA Kansas City CCA - Mid America Division,APOLLO-01,Apollo Pre-Hospital,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
APP1361DS - Apollo Simulator - Pre-Hospital Black/African American,APP1361DS,Installed,HCA Kansas City CCA - Mid America Division,APOLLO-02,Apollo Pre-Hospital,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
APP1365DS - Apollo Simulator - Pre-Hospital Black/African American,APP1365DS,Shipped,HCA Kansas City CCA - Mid America Division,APOLLO-02,Apollo Pre-Hospital,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
APN0583 - Apollo Simulator - Nursing Caucasian,APN0583,Shipped,HCA Kansas City CCA - Mid America Division,APOLLO-03,Apollo Nursing,Apollo,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
APN0579 - Apollo Simulator - Nursing Caucasian,APN0579,Shipped,Northwestern State University - Natchitoches,APOLLO-03,Apollo Nursing,Apollo,1,Gulf Coast,Active Service Contract,Active Service Contract,2025-10-30,2026-10-29,True,,,False
ARIA0684 - Aria Patient Simulator - Caucasian,ARIA0684,Shipped,HCA Kansas City CCA - Mid America Division,ARIA-01,Aria,Aria,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
ARES1562 - Ares Simulator - Caucasian,ARES1562,Installed,HCA Kansas City CCA - Mid America Division,ARES-01,Ares,Ares,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
LUNA0718 - Luna Simulator - Caucasian,LUNA0718,Installed,HCA Kansas City CCA - Mid America Division,LUNA-01,Luna,Luna,1,West Plains,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,39.0581534,-94.61381779999999,True
"EVO000071 - Evo Base Package - Adult, Caucasian",EVO000071,Shipped,Ivy Tech Community College - Valparaiso,EVO-04,Evo,Evo,1,Illinois,Active Service Contract,Active Service Contract,2025-11-29,2026-11-28,True,41.4672552,-87.0604487,True
JUNO5026 - Juno Simulator - Caucasian,JUNO5026,Shipped,Carleton University,JUNO-01,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5027 - Juno Simulator - Caucasian,JUNO5027,Shipped,Carleton University,JUNO-01,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5030 - Juno Simulator - Caucasian,JUNO5030,Shipped,Carleton University,JUNO-01,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5031 - Juno Simulator - Caucasian,JUNO5031,Shipped,Carleton University,JUNO-01,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5007 - Juno Complete,JUNO5007,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO5008 - Juno Complete,JUNO5008,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO5011 - Juno Complete,JUNO5011,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO5010 - Juno Complete,JUNO5010,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO5006 - Juno Complete,JUNO5006,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO5003 - Juno Complete,JUNO5003,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO5005 - Juno Complete,JUNO5005,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO5004 - Juno Complete,JUNO5004,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO4999DS - Juno Complete,JUNO4999DS,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO4986DS - Juno Complete,JUNO4986DS,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO4987DS - Juno Complete,JUNO4987DS,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO4964DS - Juno Complete,JUNO4964DS,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO4988DS - Juno Complete,JUNO4988DS,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO4989DS - Juno Complete,JUNO4989DS,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
JUNO4985DS - Juno Complete,JUNO4985DS,Installed,Galen College of Nursing - Dallas,JUN-300,Juno,Juno,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
"APN0587 - Apollo Nursing Patient Simulator, Maestro",APN0587,Shipped,University of West Florida,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,1,North Florida,Active Service Contract,Active Service Contract,2025-11-27,2029-11-26,True,30.421309,-87.2169149,True
"APN0584DS - Apollo Nursing Patient Simulator, Maestro",APN0584DS,Shipped,University of West Florida,FLEX-APN-MAESTRO,Apollo Nursing,Apollo,1,North Florida,Active Service Contract,Active Service Contract,2025-11-27,2029-11-26,True,30.421309,-87.2169149,True
MFS3069 - Lucina Patient Simulator with Maestro,MFS3069,Installed,Galen College of Nursing - Dallas,FLEX-MFS-MAESTRO,Lucina,Lucina,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2030-11-26,True,32.9481789,-96.7297206,True
APN0582 - Apollo Simulator - Nursing Caucasian,APN0582,Installed,Galen College of Nursing - Dallas,APOLLO-03,Apollo Nursing,Apollo,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2027-11-26,True,32.9481789,-96.7297206,True
LUNA0710_ - Luna Live,LUNA0710_,Shipped,Galen College of Nursing - Dallas,LUNA-200,Luna,Luna,1,North Texas,Active Service Contract,Active Service Contract,2025-11-27,2026-11-26,True,32.9481789,-96.7297206,True
VMDX2594 - Vimedix Simulator - Female,VMDX2594,Shipped,Gwinnett Technical College,VIMEDIX-02,Vimedix,Vimedix,1,North Florida,Active Service Contract,Active Service Contract,2025-11-26,2030-11-25,True,33.9566391,-83.9890066,True
JUNO5002 - Juno Simulator - Caucasian,JUNO5002,Shipped,Carleton University,JUNO-01,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5009 - Juno Simulator - Caucasian,JUNO5009,Shipped,Carleton University,JUNO-01,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5022DS - Juno Simulator - Black/African American,JUNO5022DS,Shipped,Carleton University,JUNO-02,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5015DS - Juno Simulator - Black/African American,JUNO5015DS,Shipped,Carleton University,JUNO-02,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5020DS - Juno Simulator - Black/African American,JUNO5020DS,Shipped,Carleton University,JUNO-02,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5016DS - Juno Simulator - Black/African American,JUNO5016DS,Shipped,Carleton University,JUNO-02,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5023DS - Juno Simulator - Black/African American,JUNO5023DS,Shipped,Carleton University,JUNO-02,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
JUNO5013DS - Juno Simulator - Black/African American,JUNO5013DS,Shipped,Carleton University,JUNO-02,Juno,Juno,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
MFS3071 - Lucina Patient Simulator - Caucasian,MFS3071,Shipped,Carleton University,LUCINA-01,Lucina,Lucina,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
MFS3075DS - Lucina Patient Simulator - Black/African American,MFS3075DS,Shipped,Toronto Metropolitan University - School of Medicine,LUCINA-02,Lucina,Lucina,1,Canada,Active Service Contract,Active Service Contract,2025-11-23,2030-11-22,True,43.685832,-79.7599366,True
ARES1561 - Ares Simulator - Caucasian,ARES1561,Shipped,Carleton University,ARES-01,Ares,Ares,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
ARES1541DS - Ares Simulator - Black/African American,ARES1541DS,Shipped,Carleton University,ARES-02,Ares,Ares,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
LUNA0685 - Luna Simulator - Caucasian,LUNA0685,Shipped,Carleton University,LUNA-01,Luna,Luna,1,Canada,Active Service Contract,Active Service Contract,2025-11-28,2027-11-27,True,45.3128048,-75.8940505,True
HPS1040/HPSM1025 - HPS Simulator - Anesthesia,HPS1040/HPSM1025,Shipped,The University of Texas Tyler,HPS-01,HPS Adult,HPS Adult,1,North Texas,Active Service Contract,Active Service Contract,2025-11-21,2028-11-20,True,,,False
ARIA0682DS - Aria Patient Simulator - Black/African American,ARIA0682DS,Shipped,Fortis College - Columbia,ARIA-02,Aria,Aria,1,Carolinas/Virginias,Active Service Contract,Active Service Contract,2025-11-15,2026-11-14,True,34.000754,-81.0352313,True
JUNO4994 - Juno Simulator - Caucasian,JUNO4994,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-01,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
JUNO4992 - Juno Simulator - Caucasian,JUNO4992,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-01,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
JUNO4995 - Juno Simulator - Caucasian,JUNO4995,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-01,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
JUNO4996 - Juno Simulator - Caucasian,JUNO4996,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-01,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
JUNO4997 - Juno Simulator - Caucasian,JUNO4997,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-01,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
JUNO4963DS - Juno Simulator - Black/African American,JUNO4963DS,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-02,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
JUNO4972DS - Juno Simulator - Black/African American,JUNO4972DS,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-02,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
JUNO4971DS - Juno Simulator - Black/African American,JUNO4971DS,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-02,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
JUNO4966DS - Juno Simulator - Black/African American,JUNO4966DS,Shipped,Tennessee College of Applied Technology - Nashville,JUNO-02,Juno,Juno,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-14,2030-11-13,True,,,False
APN0575DS - Apollo Simulator - Nursing Black/African American,APN0575DS,Shipped,Fox Valley Technical College,APOLLO-04,Apollo Nursing,Apollo,1,Northern Plains,Active Service Contract,Active Service Contract,2025-11-14,2026-11-13,True,44.26139669999999,-88.40697439999998,True
MFS3068 - Lucina Patient Simulator - Caucasian,MFS3068,Shipped,Licking Memorial Hospital,LUCINA-01,Lucina,Lucina,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-13,2026-11-12,True,,,False
"EVO000072 - Evo Base Package - Adult, Caucasian",EVO000072,Shipped,Ivy Tech - Lake County,EVO-04,Evo,Evo,1,Illinois,Active Service Contract,Active Service Contract,2025-11-08,2028-11-07,True,41.4169806,-87.3653136,True
APN0581 - Apollo Simulator - Nursing Caucasian,APN0581,Shipped,Broward Health Medical Center,APOLLO-03,Apollo Nursing,Apollo,1,South Florida,Active Service Contract,Active Service Contract,2025-11-07,2026-11-06,True,26.1223084,-80.1433786,True
MFS3067 - Lucina Patient Simulator - Caucasian,MFS3067,Installed,University of Texas Health Science Center - Tyler,LUCINA-01,Lucina,Lucina,1,North Texas,Active Service Contract,Active Service Contract,2025-11-07,2026-11-06,True,32.3512601,-95.3010624,True
ARIA0672 - Aria Patient Simulator - Caucasian,ARIA0672,Shipped,Broward Health Medical Center,ARIA-01,Aria,Aria,1,South Florida,Active Service Contract,Active Service Contract,2025-11-07,2026-11-06,True,26.1223084,-80.1433786,True
"APP1379 - Apollo Pre-Hospital Patient Simulator, Maestro",APP1379,Shipped,University of Kentucky - Bowling Green,FLEX-APH-MAESTRO,Apollo Pre-Hospital,Apollo,1,Great Lakes,Active Service Contract,Active Service Contract,2025-11-06,2030-11-05,True,,,False
MFS3066 - Lucina Patient Simulator - Caucasian,MFS3066,Shipped,Klamath Community College,LUCINA-01,Lucina,Lucina,1,Pacific Northwest,Active Service Contract,Active Service Contract,2025-11-06,2027-11-05,True,42.224867,-121.78167,True
VMDX2591 - Elevate Vimedix Abdominal Ultrasound Simulator Base Unit-Abdominal,VMDX2591,Shipped,Faulkner University,VIM-008.1,Vimedix,Vimedix,1,Gulf Coast,Active Service Contract,Active Service Contract,2025-10-30,2026-10-29,True,32.3777111,-86.3090775,True
JUNO4991 - Juno Simulator - Caucasian,JUNO4991,Shipped,Manhattanville University,JUNO-01,Juno,Juno,1,NY/NJ,Active Service Contract,Active Service Contract,2025-10-30,2028-10-29,True,,,False
